symbol,exchange,name
038680,KRX,에스넷
038870,KRX,에코바이오
038880,KRX,아이에이
038950,KRX,파인디지털
039010,KRX,현대에이치티
039020,KRX,이건홀딩스
039030,KOSDAQ GLOBAL,이오테크닉스
039130,KRX,하나투어
039200,KRX,오스코텍
039240,KRX,경남스틸
039290,KRX,인포뱅크
039310,KRX,세중
039340,KRX,한국경제TV
039420,KRX,케이엘넷
039440,KRX,에스티아이
039490,KRX,키움증권
039560,KRX,다산네트웍스
039570,KRX,HDC랩스
039610,KRX,화성밸브
039740,KRX,한국정보공학
039830,KRX,오로라
039840,KRX,디오
039860,KRX,나노엔텍
039980,KRX,폴라리스AI
040160,KRX,누리플렉스
040300,KRX,YTN
040350,KRX,크레오에스지
040420,KRX,정상제이엘에스
040610,KRX,SG&G
040910,KRX,아이씨디
041020,KRX,폴라리스오피스
041190,KRX,우리기술투자
041440,KRX,현대에버다임
041460,KRX,한국전자인증
041510,KOSDAQ GLOBAL,에스엠
041520,KRX,이엘씨
041590,KRX,플래스크
041650,KRX,상신브레이크
041830,KRX,인바디
041910,KRX,폴라리스AI파마
041920,KRX,메디아나
041930,KRX,동아화성
041960,KRX,코미팜
042000,KRX,카페24
042040,KRX,케이피엠테크
042110,KRX,에스씨디
042370,KRX,비츠로테크
042420,KRX,네오위즈홀딩스
042500,KRX,링네트
042510,KRX,라온시큐어
042520,KRX,한스바이오메드
042600,KRX,새로닉스
042660,KRX,한화오션
042670,KRX,HD현대인프라코어
042700,KRX,한미반도체
042940,KRX,상지건설
043090,KRX,더테크놀로지
043100,KRX,알파녹스
043150,KRX,바텍
043200,KRX,파루
043220,KRX,티에스넥스젠
043260,KRX,성호전자
043340,KRX,에쎈테크
043360,KRX,디지아이
043370,KRX,피에이치에이
043590,KRX,웰킵스하이텍
043610,KRX,KT지니뮤직
043650,KRX,국순당
043710,KRX,서울리거
043910,KRX,자연과환경
044180,KRX,KD
044340,KRX,위닉스
044380,KRX,주연테크
044450,KRX,KSS해운
044480,KRX,빌리언스
044490,KRX,태웅
044780,KRX,에이치케이
044820,KRX,코스맥스비티아이
044960,KRX,이글벳
044990,KRX,에이치엔에스하이텍
045060,KRX,오공
045100,KRX,한양이엔지
045300,KRX,성우테크론
045340,KRX,토탈소프트
045390,KRX,대아티아이
045510,KRX,정원엔시스
045520,KRX,크린앤사이언스
045660,KRX,에이텍
045970,KRX,코아시아
046070,KRX,코다코
046120,KRX,오르비텍
046210,KRX,HLB파나진
046310,KRX,백금T&A
046390,KRX,삼화네트웍스
046440,KRX,KG모빌리언스
046890,KOSDAQ GLOBAL,서울반도체
046940,KRX,우원개발
046970,KRX,우리로
047040,KRX,대우건설
047050,KRX,포스코인터내셔널
047080,KRX,한빛소프트
047310,KRX,파워로직스
047400,KRX,유니온머티리얼
047560,KRX,이스트소프트
047770,KRX,코데즈컴바인
047810,KRX,한국항공우주
047820,KRX,초록뱀미디어
047920,KRX,HLB제약
048410,KRX,현대바이오
048430,KRX,유라테크
048470,KRX,대동스틸
048530,KRX,인트론바이오
048550,KRX,SM C&C
048770,KRX,TPC
048830,KRX,엔피케이
048870,KRX,시너지이노베이션
048910,KRX,대원미디어
049070,KRX,인탑스
049080,KRX,기가레인
049120,KRX,파인디앤씨
049180,KRX,셀루메드
049430,KRX,코메론
049470,KRX,SGA
049480,KRX,오픈베이스
049520,KRX,유아이엘
049550,KRX,잉크테크
049630,KRX,재영솔루텍
